name;telefon;email;website;link_status;plz;ort;strasse;angebot;koordinaten
Liechtensteiner Schwimmverband;;;https://www.lieswimming.li/;200;;Vaduz (FL);;Assoziierter Verein;
Limmat Sharks Zürich;;;https://limmatsharks.com/;200;;Zürich;;Schwimmverein (Wettkampf, Kat. A);
Limmat-Nixen Zürich;;;https://www.limmat-nixen.ch/;200;;Zürich;;Schwimmverein (Wettkampf, Kat. A);
Lugano Aquatics;;;https://nuoto.lugano-aquatics.ch/;200;;Lugano;;Schwimmverein (Wettkampf, Kat. A);
Martigny-Natation;;;http://www.martigny-natation.ch/;200;;Martigny;;Schwimmverein (Wettkampf, Kat. A);
Meine Schwimmschule – Natabilis GmbH;;;http://www.meineschwimmschule.ch;406;;Fischenthal;;Schwimmschule / Breitensport (Kat. B);
Mendrisiotto Nuoto;;;http://mendrisiottonuoto.ch/;200;;Mendrisio;;Schwimmverein (Wettkampf, Kat. A);
Meyrin Natation;;;https://www.meyrin-natation.ch/;200;;Meyrin;;Schwimmverein (Wettkampf, Kat. A);
Moby Dick Sagl – Swimming School;;;https://mobydickschool.ch/;200;;Lugano;;Schwimmschule / Breitensport (Kat. B);
Montreux-Natation;;;https://www.montreux-natation.ch/;200;;Clarens;;Schwimmverein (Wettkampf, Kat. A);
Morges-Natation;;;https://www.morges-natation.ch/;200;;Morges;;Schwimmverein (Wettkampf, Kat. A);
Natation sportive Genève;;;http://www.natation-nsg.com/;404;;Les Acacias;;Schwimmverein (Wettkampf, Kat. A);
Nuotatori Luganesi 84;;;;-;;Lugano;;Schwimmverein (Wettkampf, Kat. A);
Nuoto Sport Locarno;;;https://www.nuotosportlocarno.ch/;200;;Locarno;;Schwimmverein (Wettkampf, Kat. A);
Octopus Swim;;;https://www.octopus-swim.ch/;200;;Münchringen;;Schwimmschule / Breitensport (Kat. B);
Onex Natation;;;https://onex-natation.ch/;200;;Onex;;Schwimmverein (Wettkampf, Kat. A);
Payerne-Natation;;;https://www.payerne-natation.ch/;200;;Payerne;;Schwimmverein (Wettkampf, Kat. A);
